target,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
a,-475.39313,92.6718,3.7903647,39.30243,-17.327269,39.30435,-15.790119,33.729633,0.08804846,15.60342,-8.256223,-4.287219,-9.118687
a,-474.8292,88.180725,5.570036,35.831818,-15.820583,37.21288,-15.091164,32.774258,-2.3763242,13.421827,-2.9078405,3.346519,-9.065119
a,-475.5816,82.59092,4.758332,40.410904,-14.092574,38.65279,-12.202368,36.12034,0.8662424,12.5296,-4.637221,0.7438028,-11.870367
a,-471.1614,82.85288,3.942439,42.173553,-13.061555,39.41687,-18.462982,33.748966,0.58716005,10.846379,-4.9963965,-0.63514394,-15.0105915
a,-453.52655,66.96486,5.8575473,38.086754,-6.6269245,42.422997,-19.016464,26.041553,-5.4507647,11.571246,-5.07514,-4.7073708,-10.510082
a,-454.67862,63.331932,9.900541,32.08913,-1.3327692,39.197586,-17.66754,20.961088,-5.079398,10.256821,-4.7890654,-0.69894564,-10.356261
a,-457.2005,68.782616,9.593302,27.272453,6.5962644,39.08008,-16.42415,25.40396,3.480177,12.803461,-4.237494,4.9660964,-4.4335103
a,-464.7371,74.12137,12.85282,28.055523,1.3693248,42.12676,-13.518486,29.415504,3.2347832,17.277203,-4.4651775,6.664629,-6.176182
a,-475.19025,79.5383,10.476606,36.621326,-12.619792,38.3726,-15.899584,31.340689,3.4569006,16.164103,-3.9299712,4.2980437,-10.41935
a,-470.1499,83.45781,12.009473,36.01431,-15.767332,33.418415,-18.246962,28.312683,1.5544205,14.3227825,-4.662961,4.961701,-8.163876
a,-469.36768,87.69031,11.01824,33.35562,-18.089298,34.28662,-17.784863,36.37815,-1.7608092,14.778145,-8.173313,4.6367345,-8.698288
a,-476.57407,82.85422,3.7744713,35.360477,-18.772133,36.33822,-15.166275,35.941673,-2.9439783,16.268524,-10.950193,0.029197335,-13.560041
a,-477.72113,89.27567,7.4928565,37.10177,-16.311113,38.917313,-18.001373,35.8429,-2.0892477,16.34048,-10.307412,4.8228455,-11.270223
a,-472.72806,92.01465,10.50313,36.97747,-14.321721,37.52403,-18.79683,33.29927,-1.6123905,13.81231,-13.528994,3.54686,-6.9188957
a,-473.70224,87.63446,12.326731,40.336098,-9.64603,38.934288,-16.555489,34.587067,-2.8945162,16.355415,-11.489366,1.2644113,-9.085943
a,-474.0634,89.31984,12.884816,41.953106,-7.6990824,39.8461,-13.67698,30.927113,-5.807463,19.817516,-9.437187,2.25593,-10.75327
a,-479.17197,88.34885,8.222094,38.813164,-5.485515,36.558502,-10.554108,33.036095,-5.3346777,21.723965,-9.281515,6.763662,-10.556035
a,-481.5247,85.936874,7.5519505,32.946575,-9.500626,27.184685,-12.067009,29.07418,-3.7737114,19.835491,-9.100048,9.810958,-10.48698
a,-481.9651,85.38577,4.389384,36.14717,-11.297919,25.370256,-12.402464,26.68502,-0.6147978,20.19516,-7.6457458,12.06888,-13.952934
a,-461.7541,73.57999,10.065102,26.270103,-0.532702,26.411121,-9.442098,16.471056,2.8544455,16.433174,-10.533609,8.155547,-14.288952
a,-442.21414,55.71762,11.370914,23.077168,7.885144,27.427736,-6.7874465,12.7789545,2.0113573,15.958582,-15.203066,9.4732,-8.218791
a,-454.63055,69.01405,10.741129,30.20988,8.386577,27.93623,-7.2950153,18.126991,1.7024336,15.679315,-12.116535,10.722103,-8.131899
a,-475.61847,94.854,1.6627619,39.690132,-8.044055,34.811295,-11.7679825,26.318237,-4.5421553,16.626772,-5.6750646,10.062561,-9.023887
a,-474.68784,92.93769,3.1049888,36.330112,-12.353958,29.711931,-10.318912,30.730036,-1.1284765,18.209244,-6.102042,13.264969,-7.725331
a,-472.40564,94.496124,3.8430357,33.268265,-13.8560295,27.315918,-14.186495,32.33407,-3.354113,15.877081,-10.90238,7.811339,-9.885799
a,-453.91913,69.91286,14.609579,28.828575,-8.829311,25.122944,-5.1861634,22.655613,1.8894268,17.89937,-11.853096,6.990837,-7.5443625
a,-412.3307,63.07376,23.348568,39.22532,7.8254004,35.358337,4.2651415,20.082344,0.72971463,18.002762,-18.721748,6.8720503,-10.341419
a,-401.48627,82.12631,30.140104,49.816452,27.379074,44.46048,13.300841,27.249073,-4.1354194,19.133759,-12.202801,10.764624,-5.4278708
a,-439.796,98.48671,26.452648,50.082134,20.40205,42.11877,5.85575,38.70212,4.980708,21.139584,-2.3663657,10.581472,-1.0571513
